,names,features_15,features_20,features_25,features_30
0,LR,0.6496115686998513,0.6365836188040787,0.635829991980754,0.6459641256169618
1,KNN,0.5033356851680215,0.5066064263083406,0.5137931312928806,0.5182292472878656
2,DecTree,0.591808769240967,0.5833445109202612,0.5669745723068698,0.5777353605417297
3,RF,0.7143674072115602,0.7108124457203513,0.708152259868128,0.7145741116429315
4,XGB,0.7316999613120065,0.705677952812892,0.709758642965339,0.7160139711877542
5,GaussianNB,0.5892278979884823,0.5879253313068933,0.5915609128575248,0.5879306238039635
6,ada,0.7234732747685839,0.706693746180321,0.6930805321660874,0.706213105316078
7,SVC,0.6814064912795331,0.6847579730772942,0.6832153835872761,0.6990960198945159
